threads,particles,numb_timestep,size_timestep
4,100,10,4.411060e-04
4,100,10,5.663400e-04
4,100,10,4.604120e-04
4,100,100,3.579541e-03
4,100,100,3.738228e-03
4,100,100,3.487118e-03
4,100,100,3.260684e-03
4,100,100,3.170575e-03
4,100,100,3.803641e-03
4,100,100,4.433349e-03
4,100,100,3.313783e-03
4,100,100,4.503170e-03
4,100,100,3.335494e-03
4,100,1000,4.036496e-02
4,100,1000,3.036101e-02
4,100,1000,3.185712e-02
4,100,1000,3.050267e-02
4,100,1000,3.227121e-02
4,100,1000,3.333475e-02
4,100,1000,3.489484e-02
4,100,1000,3.604442e-02
4,100,1000,3.134074e-02
4,100,1000,3.553876e-02
4,1000,10,2.374484e-02
4,1000,10,3.055234e-02
4,1000,10,2.460567e-02
4,1000,10,3.619028e-02
4,1000,10,2.577225e-02
4,1000,10,2.598933e-02
4,1000,10,3.096731e-02
4,1000,10,2.506413e-02
4,1000,10,3.849740e-02
4,1000,10,4.015630e-02
4,1000,100,3.408016e-01
4,1000,100,3.676889e-01
4,1000,100,3.322300e-01
4,1000,100,3.585806e-01
4,1000,100,3.215217e-01
4,1000,100,3.352405e-01
4,1000,100,3.464202e-01
4,1000,100,3.177963e-01
4,1000,100,3.402371e-01
4,1000,100,3.387605e-01
4,1000,1000,3.373729e+00
4,1000,1000,3.203346e+00
4,1000,1000,3.173328e+00
4,1000,1000,3.562191e+00
4,1000,1000,3.399021e+00
4,1000,1000,3.322920e+00
4,1000,1000,3.326423e+00
4,1000,1000,3.427083e+00
4,1000,1000,3.488263e+00
4,1000,1000,3.296919e+00
